Case Number,Date Reported,Time Reported,Month Reported,Day of Week Reported,Nature of Call for Service,District,Agency,Report/No Report
B16-25058,6/30/2016,11:53 PM,June,Thursday,TRAFFIC STOP,LB519,BPD,NO REPORT NEEDED
B16-25057,6/30/2016,11:45 PM,June,Thursday,DOMESTIC IP,LB329,BPD,NO REPORT NEEDED
B16-25056,6/30/2016,11:34 PM,June,Thursday,SUSP ACT IP,LB517,BPD,NO REPORT NEEDED
B16-25055,6/30/2016,11:31 PM,June,Thursday,TRAFFIC STOP,LB521,BPD,NO REPORT NEEDED
B16-25054,6/30/2016,11:31 PM,June,Thursday,TRAFFIC STOP,LB518,BPD,NO REPORT NEEDED
B16-25053,6/30/2016,11:27 PM,June,Thursday,TRAFFIC STOP,LB513,BPD,NO REPORT NEEDED
B16-25052,6/30/2016,11:12 PM,June,Thursday,WELFARE CHK IP,LB101,BPD,NO REPORT NEEDED
B16-25051,6/30/2016,11:11 PM,June,Thursday,DISTURBANCE IP,LB513,BPD,NO REPORT NEEDED
B16-25050,6/30/2016,11:01 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25049,6/30/2016,10:41 PM,June,Thursday,ALARM,LB305,BPD,NO REPORT NEEDED
B16-25048,6/30/2016,10:25 PM,June,Thursday,SUSP ACT IP,LB221,BPD,NO REPORT NEEDED
B16-25047,6/30/2016,10:24 PM,June,Thursday,JUVENILE,LB305,BPD,NO REPORT NEEDED
B16-25046,6/30/2016,10:20 PM,June,Thursday,ATL,LB103,BPD,NO REPORT NEEDED
B16-25044,6/30/2016,10:08 PM,June,Thursday,DOMESTIC IP,LB326,BPD,NO REPORT NEEDED
B16-25042,6/30/2016,9:56 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,REPORT NEEDED
B16-25043,6/30/2016,9:52 PM,June,Thursday,DOMESTIC IP,LB513,BPD,NO REPORT NEEDED
B16-25041,6/30/2016,9:41 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,REPORT NEEDED
B16-25040,6/30/2016,9:36 PM,June,Thursday,TRAFFIC STOP,LB519,BPD,REPORT NEEDED
B16-25045,6/30/2016,9:31 PM,June,Thursday,VEH THEFT NP,LB102,BPD,NO REPORT NEEDED
B16-25038,6/30/2016,9:19 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25036,6/30/2016,9:13 PM,June,Thursday,FOLLOW UP,LB513,BPD,NO REPORT NEEDED
B16-25037,6/30/2016,9:11 PM,June,Thursday,SERVICE IP,LB310,BPD,NO REPORT NEEDED
B16-25035,6/30/2016,9:08 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25034,6/30/2016,9:03 PM,June,Thursday,SUSP ACT IP,LB336,BPD,NO REPORT NEEDED
B16-25031,6/30/2016,8:59 PM,June,Thursday,SUSP ACT IP,LB517,BPD,NO REPORT NEEDED
B16-25030,6/30/2016,8:59 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25039,6/30/2016,8:58 PM,June,Thursday,ANIMAL,LB304,BPD,NO REPORT NEEDED
B16-25029,6/30/2016,8:54 PM,June,Thursday,WELFARE CHK IP,LB512,BPD,NO REPORT NEEDED
B16-25028,6/30/2016,8:50 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25027,6/30/2016,8:48 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,REPORT NEEDED
B16-25032,6/30/2016,8:44 PM,June,Thursday,THEFT NP,LB305,BPD,NO REPORT NEEDED
B16-25033,6/30/2016,8:37 PM,June,Thursday,PROPERTY,LB313,BPD,NO REPORT NEEDED
B16-25024,6/30/2016,8:28 PM,June,Thursday,TRAFFIC STOP,LB517,BPD,NO REPORT NEEDED
B16-25025,6/30/2016,8:27 PM,June,Thursday,THEFT NP,LB213,BPD,REPORT NEEDED
